EAN,URL_1,URL_2,URL_3
681147042988,https://www.bscom.cz/auticko-pro-nejmensi-tlapkova-patrola-hraci-set-patroller-mini-681147042988_d2249040/,https://www.sparkys.cz/spin-master-tlapkova-patrola-hraci-set-patroller-mini/,https://www.alza.cz/hracky/tlapkova-patrola-hraci-set-patroller-mini-d12498578.htm
681147017801,https://www.sparkys.cz/spin-master-tlapkova-patrola-interaktivni-vozidlo-rescue-wheels-chase/,https://www.dracik.cz/paw-patrol-vozidlo-chase/,https://www.bscom.cz/auticko-pro-nejmensi-tlapkova-patrola-interaktivni-vozidlo-rescue-wheels-chase-681147017801_d2249041/
778988452820,https://www.bscom.cz/auticko-pro-nejmensi-tlapkova-patrola-tematicke-vozidlo-rescue-wheels-chase-778988452820_d2165114/,https://pompo.cz/spin-master-tlapkova-patrola-tematicke-vozidlo-rescue-wheels-chase_z211308/,https://www.toysshop.cz/spin-master-tlapkova-patrola-tematicka-vozidla-rescue-wheels-chase/?srsltid=AfmBOoqJQfgMMUmg9b9Hgx7GpDhwYwq-QrbxddzdVKBGuRWMyOY8chxt
778988452851,https://www.sparkys.cz/spin-master-tlapkova-patrola-tematicka-vozidla-rescue-wheels-marshall/,https://www.bscom.cz/auto-tlapkova-patrola-tematicke-vozidlo-rescue-wheels-marshall-778988452851_d2165115/,https://www.dracik.cz/paw-patrol-marshall-s-vozidlem-67015/
778988452837,https://www.bscom.cz/auto-tlapkova-patrola-tematicke-vozidlo-rescue-wheels-skye-778988452837_d2165118/,https://pompo.cz/spin-master-tlapkova-patrola-tematicke-vozidlo-rescue-wheels-skye_z211309/,https://www.toysshop.cz/spin-master-tlapkova-patrola-tematicka-vozidla-rescue-wheels-skye/?srsltid=AfmBOopso6SqrdaV0UutkZ93WwaRFhzFbmeToB5jepgPo-PA2xLxyJ9V
681147011359,https://www.sparkys.cz/spin-master-tlapkova-patrola-velka-vez-rescue-wheels/,https://www.bscom.cz/autodraha-tlapkova-patrola-velka-vez-rescue-wheels-681147011359_d2249063/,https://www.dracik.cz/paw-patrol-super-loop-vez/
778988453438,https://www.sparkys.cz/spin-master-tlapkova-patrola-velky-patroller-se-zvuky-a-svetly/,https://www.bscom.cz/auticko-pro-nejmensi-tlapkova-patrola-velky-patroller-se-zvuky-a-svetly-778988453438_d2165120/,https://www.alza.cz/hracky/tlapkova-patrola-velky-patroller-se-zvuky-a-svetly-d12292350.htm
778988507551,https://www.bscom.cz/auticko-pro-nejmensi-tlapkova-patrola-zakladni-vozidla-chase-778988507551_d1394842/,https://www.dracik.cz/paw-patrol-chase-62359/,https://www.wikyhracky.cz/tlapkova-patrola-zakladni-vozidla-chase
778988507568,https://www.bscom.cz/auto-tlapkova-patrola-zakladni-vozidlo-marshall-778988507568_d2091744/,https://www.bambule.cz/tlapkova-patrola-zakladni-vozidl-marshall/,https://www.legenio.cz/tlapkova-patrola-zakladni-vozidlo-s-figurkou-marshall/
778988507865,https://www.bscom.cz/auto-tlapkova-patrola-zakladni-vozidla-ryder-778988507865_d2076369/,https://www.dracik.cz/paw-patrol-ryder-so-stvorkolkou/,https://www.bambule.cz/tlapkova-patrola-zakladni-vozidla-ryder-1954971/
778988507537,https://www.bscom.cz/auticko-pro-nejmensi-tlapkova-patrola-zakladni-vozidla-skye-778988507537_d2076370/,https://www.bscom.cz/auto-tlapkova-patrola-zakladni-vozidlo-skye-778988507537_d2091748/,https://www.legenio.cz/tlapkova-patrola-zakladni-vozidlo-s-figurkou-skye/
778988250372,https://www.bscom.cz/figurka-unicorn-academy-cesaci-jednorozec-leaf-778988250372_d2249353/,https://pompo.cz/unicorn-academy-cesaci-jednorozec-24-cm-leaf_z211299/,https://www.bambule.cz/unicorn-academy-cesaci-jednorozec-24-cm-leaf/
778988250389,https://www.bscom.cz/figurka-unicorn-academy-cesaci-jednorozec-river-778988250389_d2249354/,https://www.legenio.cz/unicorn-academy-cesaci-jednorozec-24-cm-river-p75170/,https://www.alza.cz/hracky/unicorn-academy-cesaci-jednorozec-river-d12497522.htm
778988454688,https://www.bambule.cz/unicorn-academy-deluxe-panenka-24-cm-sophia/,https://www.toysshop.cz/spin-master-unicorn-academy-deluxe-panenka-24-cm-sophia/?srsltid=AfmBOorosXQdba0G-_oumctFDBeKs8eJO76jVWrqf6E3-KbfogxynqX8,https://www.alza.cz/hracky/unicorn-academy-deluxe-sophia-24-cm-d12497500.htm
681147010116,https://www.bscom.cz/figurky-unicorn-academy-ava-a-leaf-681147010116_d2249399/,https://www.legenio.cz/unicorn-academy-figurky-11-cm-ava-a-leaf-p75140/,https://pompo.cz/unicorn-academy-figurky-11-cm-ava-a-leaf_z211319/
778988461891,https://www.bscom.cz/figurky-unicorn-academy-figurky-isabel-a-river-778988461891_d2249400/,https://www.legenio.cz/unicorn-academy-figurky-11-cm-isabel-a-river-p75143/,https://pompo.cz/unicorn-academy-figurky-11-cm-isabel-a-river_z211291/
